"group","replace","order"
C3k,C3k,1
C3,C3,2
mc-I,mc-I,3
mc-II,mc-II,4
mc-II`,mc-II,4
mc-III,mc-III,5
mc-IV,mc-IV,6
Pd-I,П1,7
П1,П1,7
Pd-II,П2,8
П2,П2,8
П2`+2,П2,8
Pd-III,П3,9
П3,П3,9
Pd-IV,П4,10
П4,П4,10
K1,K1,11
K1`,K1,11
K2,K2,12
Ks-V,K2,12
K2`,K2,12
K3,K3,13
K3`,K3,13
K3``,K3,13
Ks-VI,K3,13
K3``-1,K3,13
K4,K4,14
K4`,K4,14
Ks-VII,K4,14
C2ks,C2ks,15
B-0,B-0,16
B-0`,B-0,16
B-0``,B-0,16
B-I,B-I,17
B-II,B-II,18
B-III,B-III,19
B-IIIa,B-IIIa,20
B-IIIb,B-IIIb,21
C2vr,C2vr,22
A4-0,A4-0,23
A4-1,A4-1,24
A4-2,A4-2,25
A4-3,A4-3,26
A4-4,A4-4,27
A4-5,A4-5,28
A4-6,A4-6,29
A4-7,A4-7,30
A4-8,A4-8,31
C2b,C2b,32
C1s,C1-s,33
C1ok,C1-ok,34
C1-ok,C1-ok,34
C1al,C1-al,35
C1-al,C1-al,35
C-I,C-I,36
Тл-0,C-I,36
C-II,C-II,37
C-II`,C-II,37
Тл-01,C-II,37
Тл-I,C-II,37
C-III,C-III,38
Тл-02,C-III,38
Тл-II,C-III,38
C-IV,C-IV,39
Тл-III,C-IV,39
C-V,C-V,40
C-V`,C-V,40
Бб-I,C-V,40
C-VI,C-VI,41
C-VI`,C-VI,41
Бб-II,C-VI,41
C-VII,C-VII,42
Бб-III,C-VII,42
C-VIII,C-VIII,43
C1v,C1v,44
Бб,C1v,44
Ct-II,Ct-II,45
Ct-III,Ct-III,46
Ct-IV,Ct-IV,47
Ct-V,Ct-V,48
C1t,C1t,49
C1t-0,C1t,49
T0+1,C1t,49
D3zv,D3zv,50
D3fm,D3fm,51
Д-0,Д-0,52
Д-0`,Д-0,52
Д-I,Д-I,53
D3f,D3f,54
A4-0+1,"A4-0,A4-1",
A4-6+7,"A4-6,A4-7",
C-V+VI,"C-V,C-VI",
Бб-II+III,"C-VI,C-VII",
Д0+ДI,"Д-0,Д-I",
B-IIIa+b,"B-IIIa,B-IIIb",
A4-0+1+2,"A4-0,A4-1,A4-2",
A4-3+4,"A4-3,A4-4",
C-II+III+IV,"C-II,C-III,C-IV",
C-I+II,"C-I,C-II",
C-II+III,"C-II,C-III",
A4-1+2,"A4-1,A4-2",
C-III+IV,"C-III,C-IV",
